algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
Astar, 'Amymouth'->'Jameston'->'SouthKelliside'->'Chelseastad'->'Blackchester'->'Kennedyton'->'Whiteport'->'SouthAdamton', 7, 171.368, 20, 25, 1.55, 0.0006597569999939878, success, 25
IDAstar, 'Amymouth'->'Jameston'->'Blackchester'->'Kennedyton'->'Whiteport'->'SouthAdamton', 5, 175.582, 114, 289, 2.623853211009174, 0.0023873159998402116, success, 25
Backtracking, 'WestScott'->'Dunnhaven'->'Geraldbury'->'Jameston'->'Nicholeberg'->'EastHeather'->'Aprilton'->'NorthAlanmouth'->'NorthBrian'->'Victoriaborough'->'LakeSteven'->'Sharontown'->'LakeChristopher'->'Phillipsville'->'PortJacob', 14, 493.299, 21, 22, 3.380952380952381, 0.0002591359998405096, success, 25
BFS, 'WestScott'->'Michaelberg'->'EastHeather'->'Nicholeberg'->'Sharontown'->'PortJacob', 5, 258.095, 22, 25, 1.0909090909090908, 0.00016705300004105084, success, 25
DFS, 'WestScott'->'Joshuaberg'->'SouthAnthony'->'Geraldbury'->'NorthSteven'->'NewJeffreymouth'->'Jameston'->'Nicholeberg'->'LakeSteven'->'Sharontown'->'Phillipsville'->'Rosstown'->'PortJacob', 12, 499.659, 27, 22, 1.9259259259259258, 0.00016464800046378514, success, 25
UCS, 'WestScott'->'Dunnhaven'->'Geraldbury'->'Nicholeberg'->'Taraburgh'->'Sharontown'->'PortJacob', 6, 207.79699999999997, 108, 25, 4.32, 0.001401768000505399, success, 25
Greedy, 'WestScott'->'Dunnhaven'->'Geraldbury'->'Nicholeberg'->'Sharontown'->'PortJacob', 5, 208.978, 5, 6, 4.6, 0.00019949400029872777, success, 25
Astar, 'WestScott'->'Dunnhaven'->'Geraldbury'->'Nicholeberg'->'Taraburgh'->'Sharontown'->'PortJacob', 6, 207.797, 21, 25, 1.3333333333333333, 0.00033329500001855195, success, 25
IDAstar, 'WestScott'->'Dunnhaven'->'Geraldbury'->'Jameston'->'Nicholeberg'->'Sharontown'->'PortJacob', 6, 213.69399999999996, 52, 120, 2.369565217391304, 0.0010798349994729506, success, 25
Backtracking, 'PortMorgan'->'Davistown'->'Gregorychester'->'Laraberg'->'Toddbury'->'Leestad'->'SouthEdwardfort', 6, 254.80400000000003, 13, 14, 3.4615384615384617, 0.00016798500018921914, success, 25
BFS, 'PortMorgan'->'SouthMichellehaven'->'Laraberg'->'Toddbury'->'SouthEdwardfort', 4, 296.915, 18, 24, 1.2777777777777777, 8.990800051833503e-05, success, 25
DFS, 'PortMorgan'->'Davistown'->'Laraberg'->'WestKristi'->'Matthewbury'->'LakeDonnachester'->'PortElizabeth'->'NorthPhillipborough'->'SouthSarah'->'WestDennisland'->'Leestad'->'Toddbury'->'SouthEdwardfort', 12, 358.77, 31, 23, 1.7096774193548387, 0.00017537900021125097, success, 25
UCS, 'PortMorgan'->'Davistown'->'WestKristi'->'LakeDonnachester'->'NewMarcus'->'NorthPhillipborough'->'SouthSarah'->'SouthEdwardfort', 7, 235.507, 108, 25, 4.32, 0.0012056199993821792, success, 25
Greedy, 'PortMorgan'->'SouthMichellehaven'->'SouthDana'->'Davidfurt'->'Jaredfort'->'Nolanfort'->'EastRyanhaven'->'Owenstown'->'Davistown'->'WestKristi'->'LakeDonnachester'->'PortElizabeth'->'NorthPhillipborough'->'SouthSarah'->'SouthEdwardfort', 14, 466.966, 14, 15, 3.0, 0.0002948629999082186, success, 25
Astar, 'PortMorgan'->'Davistown'->'WestKristi'->'LakeDonnachester'->'NewMarcus'->'NorthPhillipborough'->'SouthSarah'->'SouthEdwardfort', 7, 235.50699999999998, 23, 25, 1.2173913043478262, 0.0003220129992769216, success, 25
IDAstar, 'PortMorgan'->'Davistown'->'Gregorychester'->'Laraberg'->'Toddbury'->'SouthEdwardfort', 5, 257.994, 103, 202, 1.8877551020408163, 0.0014228179998099222, success, 25
Backtracking, 'Stewartview'->'Doughertychester'->'EastLuisville'->'Patriciafort'->'Millertown'->'EastBradley'->'Cookfurt'->'Craigton'->'EastAlexandriafort'->'Nancyborough'->'Ellenstad', 10, 304.27099999999996, 10, 11, 3.8, 8.969800001068506e-05, success, 25
BFS, 'Stewartview'->'EastLuisville'->'Patriciafort'->'SouthMonica'->'Ellenstad', 4, 226.334, 18, 21, 1.1111111111111112, 9.994799984269775e-05, success, 25
DFS, 'Stewartview'->'Perezberg'->'NorthCarl'->'NorthDanielle'->'SouthMonica'->'Patriciafort'->'Millertown'->'SouthDonna'->'EastBradley'->'Cookfurt'->'Craigton'->'EastAlexandriafort'->'SouthBrittany'->'Ellenstad', 13, 421.52500000000003, 13, 14, 3.230769230769231, 9.710199992696289e-05, success, 25
UCS, 'Stewartview'->'Perezberg'->'NorthCarl'->'NorthDanielle'->'SouthCrystal'->'Craigton'->'Nancyborough'->'Ellenstad', 7, 165.31400000000002, 108, 25, 4.32, 0.0012709229995380156, success, 25
Greedy, 'Stewartview'->'Perezberg'->'NorthCarl'->'NorthDanielle'->'SouthCrystal'->'EastAlexandriafort'->'Nancyborough'->'Ellenstad', 7, 172.16, 7, 8, 3.5714285714285716, 0.0001715320004223031, success, 25
Astar, 'Stewartview'->'Perezberg'->'NorthCarl'->'NorthDanielle'->'SouthCrystal'->'Craigton'->'Nancyborough'->'Ellenstad', 7, 165.314, 19, 25, 1.4736842105263157, 0.00031383800069306744, success, 25
IDAstar, 'Stewartview'->'Perezberg'->'Millertown'->'EastBradley'->'SouthMonica'->'Ellenstad', 5, 176.335, 40, 80, 2.2, 0.000631393999356078, success, 25
Backtracking, 'NewGaryland'->'Andrewfurt'->'Hermanfurt'->'Larrychester'->'Millerhaven'->'Angelaton'->'Brownchester'->'Romanstad', 7, 343.602, 24, 25, 3.2083333333333335, 0.0003317720002087299, success, 25
BFS, 'NewGaryland'->'Hermanfurt'->'Larrychester'->'Millerhaven'->'Romanstad', 4, 247.906, 20, 25, 1.2, 9.515900001133559e-05, success, 25
DFS, 'NewGaryland'->'PortScottmouth'->'Hermanfurt'->'Moyerberg'->'Petersenborough'->'Andersonfort'->'WestJack'->'Millerhaven'->'Brownchester'->'Angelaton'->'Romanstad', 10, 375.988, 35, 24, 1.542857142857143, 0.00020168799983366625, success, 25
UCS, 'NewGaryland'->'Hermanfurt'->'SouthAlexisborough'->'Moyerberg'->'SouthDeborahstad'->'Millerport'->'Brownchester'->'Angelaton'->'Romanstad', 8, 229.55, 108, 25, 4.32, 0.001333550000708783, success, 25
Greedy, 'NewGaryland'->'Hermanfurt'->'Larrychester'->'Millerhaven'->'Romanstad', 4, 247.906, 4, 5, 4.75, 0.00015526100014540134, success, 25
Astar, 'NewGaryland'->'Hermanfurt'->'SouthAlexisborough'->'Moyerberg'->'SouthDeborahstad'->'Millerport'->'Brownchester'->'Angelaton'->'Romanstad', 8, 229.55, 21, 25, 1.4761904761904763, 0.0014670210002805106, success, 25
IDAstar, 'NewGaryland'->'Andrewfurt'->'Hermanfurt'->'Larrychester'->'Millerhaven'->'Romanstad', 5, 289.503, 110, 217, 1.9523809523809523, 0.0020696910005426616, success, 25
Backtracking, 'PortMegan'->'LakeAmandaburgh'->'LakeDavid'->'Geoffreyburgh'->'NewKelseychester'->'PortMitchell'->'SouthJennifer'->'WestLonnieland'->'Wrightburgh', 8, 215.813, 8, 9, 4.0, 7.247599933180027e-05, success, 25
BFS, 'PortMegan'->'LakeAmandaburgh'->'LakeDavid'->'WestPeter'->'Wrightburgh', 4, 154.881, 23, 25, 1.0434782608695652, 0.00011128899950563209, success, 25
DFS, 'PortMegan'->'NewTammy'->'SouthLaurieton'->'NorthJohnberg'->'Salazarmouth'->'WestJohnview'->'Matthewburgh'->'NorthAshleyside'->'Ryanhaven'->'LakeAmandaburgh'->'NorthJamieland'->'LakeMax'->'LakeDavid'->'WestPeter'->'Geoffreyburgh'->'SouthJennifer'->'NewKelseychester'->'Wrightburgh', 17, 458.53, 18, 19, 2.6666666666666665, 0.00012413200056471396, success, 25
UCS, 'PortMegan'->'LakeAmandaburgh'->'LakeDavid'->'WestPeter'->'Wrightburgh', 4, 154.881, 108, 25, 4.32, 0.0012320599998929538, success, 25
Greedy, 'PortMegan'->'NorthAshleyside'->'Matthewburgh'->'WestJohnview'->'NorthJohnberg'->'Michelleland'->'EastLance'->'PortJames'->'Wrightburgh', 8, 315.26099999999997, 8, 9, 2.875, 0.00015656400046282215, success, 25
Astar, 'PortMegan'->'LakeAmandaburgh'->'LakeDavid'->'WestPeter'->'Wrightburgh', 4, 154.881, 13, 21, 2.1538461538461537, 0.00022036300015315646, success, 25
IDAstar, 'PortMegan'->'LakeAmandaburgh'->'LakeDavid'->'WestPeter'->'Wrightburgh', 4, 154.881, 24, 55, 2.45, 0.0004208390000712825, success, 25
Backtracking, 'Linborough'->'Caitlinfurt'->'Carrollchester'->'Meganfort'->'NewMichaelside'->'NorthJosefurt'->'Mariefort'->'Melissaberg'->'PortNoahberg'->'PortJohn'->'Catherineborough'->'LakeNicolebury'->'Shawnshire'->'WestJasonhaven', 13, 454.62, 23, 24, 2.9565217391304346, 0.00041354600034537725, success, 25
BFS, 'Linborough'->'Caitlinfurt'->'Mariefort'->'NorthJosefurt'->'WestJasonhaven', 4, 312.99, 21, 24, 1.0952380952380953, 0.00014492199989035726, success, 25
DFS, 'Linborough'->'NorthBrendaport'->'PortChloechester'->'NewMichaelside'->'Nicoleville'->'WestBreannashire'->'Carrollchester'->'Caitlinfurt'->'SouthDanielchester'->'Robinsonmouth'->'NorthMatthew'->'PortNoahberg'->'SouthKathy'->'WestRachel'->'Melissaberg'->'WestMichelle'->'PortJohn'->'Shawnshire'->'WestJasonhaven', 18, 659.2810000000001, 19, 20, 2.6315789473684212, 0.00023135399987950223, success, 25
UCS, 'Linborough'->'SouthDanielchester'->'Caitlinfurt'->'SouthKathy'->'WestRachel'->'PortNoahberg'->'PortJohn'->'WestJasonhaven', 7, 167.171, 108, 25, 4.32, 0.0013787950001642457, success, 25
Greedy, 'Linborough'->'NorthBrendaport'->'Meganfort'->'Nicoleville'->'WestBreannashire'->'Carrollchester'->'NewMichaelside'->'NorthJosefurt'->'WestJasonhaven', 8, 300.128, 11, 11, 2.3636363636363638, 0.0002349399992453982, success, 25
Astar, 'Linborough'->'SouthDanielchester'->'Caitlinfurt'->'SouthKathy'->'WestRachel'->'PortNoahberg'->'PortJohn'->'WestJasonhaven', 7, 167.17099999999996, 18, 24, 1.5555555555555556, 0.00029691599957004655, success, 25
IDAstar, 'Linborough'->'Caitlinfurt'->'Mariefort'->'Melissaberg'->'PortNoahberg'->'PortJohn'->'WestJasonhaven', 6, 193.16099999999997, 132, 296, 2.2301587301587302, 0.002132949000042572, success, 25
Backtracking, 'SouthAngelaport'->'Melissabury'->'NorthGloriaview'->'NewSonyaside'->'Lorifort'->'NorthMichael'->'Copelandberg'->'NewJoseph'->'Michaelland'->'Peterview'->'Spencerchester'->'WestJeremy'->'Kimberlystad'->'SouthBonniestad'->'Sheltonview'->'Fisherchester'->'EastRita'->'LakeJameshaven'->'NewTonyberg'->'PortCassie'->'Samanthaside', 20, 4342.268000000001, 21, 22, 2.9523809523809526, 0.0001805179999792017, success, 50
BFS, 'SouthAngelaport'->'NewSonyaside'->'Lorifort'->'NorthMichael'->'EastJessica'->'WestJohntown'->'Samanthaside', 6, 2340.1110000000003, 41, 50, 1.1951219512195121, 0.00020920299994031666, success, 50
DFS, 'SouthAngelaport'->'NorthGloriaview'->'Melissabury'->'Scottview'->'Vincentton'->'NorthAmy'->'Davidport'->'PortGina'->'Wellsburgh'->'EastJessica'->'NorthMichael'->'Copelandberg'->'NewJoseph'->'Spencerchester'->'WestJeremy'->'Kimberlystad'->'SouthBonniestad'->'Sheltonview'->'Victoriaview'->'EastRita'->'LakeJameshaven'->'NewTonyberg'->'PortCassie'->'WestJohntown'->'Samanthaside', 24, 5407.644000000002, 49, 44, 1.6938775510204083, 0.00028484399990702514, success, 50
UCS, 'SouthAngelaport'->'NorthGloriaview'->'NewSonyaside'->'Lorifort'->'NorthMichael'->'EastJessica'->'WestJohntown'->'NewTonyberg'->'Samanthaside', 8, 2291.407, 172, 50, 3.44, 0.0020504940002865624, success, 50
