algorithm, solution, depth, cost, expanded_nodes, visited_nodes, average_branching_factor, execution_time, result, n
Astar, 'NorthYvette'->'WestSarah'->'Lauraville'->'LakeSandraton'->'EastEmily'->'Jaredberg'->'Tracyborough'->'Amberchester'->'LakeJared'->'NewMichael'->'NewJosephmouth', 10, 247.06900000000002, 22, 25, 2.3636363636363638, 0.000377608000235341, success, 25
IDAstar, 'NorthYvette'->'Allisonborough'->'PortWalter'->'Johnsonhaven'->'Russellstad'->'SouthDebra'->'NewMichael'->'NewJosephmouth', 7, 271.687, 17, 23, 1.0, 0.0030225410000639386, success, 25
Backtracking, 'NewKellystad'->'Anthonyton'->'Hallside'->'NewJohnton', 3, 183.092, 3, 4, 1.0, 3.0186000003595836e-05, success, 25
BFS, 'NewKellystad'->'Anthonyton'->'Hallside'->'NewJohnton', 3, 183.092, 18, 23, 4.833333333333333, 0.00011105900011898484, success, 25
DFS, 'NewKellystad'->'Daryltown'->'Williamschester'->'NorthJennifer'->'Brucebury'->'Sharonburgh'->'NorthJenniferland'->'Millerhaven'->'PortShannon'->'Kimborough'->'Allisonberg'->'SouthKyleland'->'Sheilatown'->'Hallside'->'NewJohnton', 14, 476.2579999999999, 15, 16, 5.0, 0.00011065800026699435, success, 25
UCS, 'NewKellystad'->'Williamschester'->'NorthJennifer'->'Tamaraside'->'NorthCarloschester'->'Berryland'->'Jessechester'->'NewJohnton', 7, 168.29399999999998, 108, 25, 4.32, 0.0012250280005901004, success, 25
Greedy, 'NewKellystad'->'Anthonyton'->'Hallside'->'NewJohnton', 3, 183.092, 3, 4, 3.3333333333333335, 8.803499986242969e-05, success, 25
Astar, 'NewKellystad'->'Williamschester'->'NorthJennifer'->'Tamaraside'->'NorthCarloschester'->'Berryland'->'Jessechester'->'NewJohnton', 7, 168.29399999999998, 16, 24, 2.9375, 0.0002705979995880625, success, 25
IDAstar, 'NewKellystad'->'Anthonyton'->'Hallside'->'NewJohnton', 3, 183.092, 3, 4, 1.0, 0.0017342139999527717, success, 25
Backtracking, 'Ronaldfurt'->'Jonathanmouth'->'Pattyfurt'->'EastKelly'->'Alejandrofurt'->'PortChristine'->'Newmanfurt'->'Amandashire'->'Mikebury'->'PortJillianmouth'->'Davidport'->'Jenniferstad'->'NewMatthewside'->'Stevenside'->'Williamsfurt'->'NorthEdward', 15, 530.794, 16, 17, 1.0, 0.00013777799995295936, success, 25
BFS, 'Ronaldfurt'->'Jonathanmouth'->'Pattyfurt'->'Williamsfurt'->'NorthEdward', 4, 186.14299999999997, 16, 22, 4.625, 7.869799992477056e-05, success, 25
DFS, 'Ronaldfurt'->'Stacyview'->'Pattyfurt'->'WestVanessa'->'Sanchezton'->'PortChristine'->'Newmanfurt'->'NewRobertborough'->'SouthAnthony'->'Mikebury'->'PortJillianmouth'->'Davidport'->'Stevenside'->'Williamsfurt'->'NorthEdward', 14, 427.40899999999993, 20, 20, 4.7, 0.00012219899963383796, success, 25
UCS, 'Ronaldfurt'->'Jonathanmouth'->'Pattyfurt'->'Williamsfurt'->'NorthEdward', 4, 186.14300000000003, 108, 25, 4.32, 0.0011537939999470836, success, 25
Greedy, 'Ronaldfurt'->'Jonathanmouth'->'Pattyfurt'->'Newmanfurt'->'Amandashire'->'NorthEdward', 5, 187.291, 5, 6, 4.8, 0.0001227610000569257, success, 25
Astar, 'Ronaldfurt'->'Jonathanmouth'->'Pattyfurt'->'Williamsfurt'->'NorthEdward', 4, 186.14299999999997, 14, 21, 2.7857142857142856, 0.0003203109999958542, success, 25
IDAstar, 'Ronaldfurt'->'Jonathanmouth'->'Pattyfurt'->'Williamsfurt'->'NorthEdward', 4, 186.14300000000003, 6, 17, 1.0, 0.000632115999906091, success, 25
Backtracking, 'Sarahshire'->'LakeLaurieburgh'->'Evansberg'->'Grayberg'->'LakeThomasberg'->'Montoyatown'->'Petersonchester'->'Rachelstad'->'NorthDavid'->'SouthAnitaton'->'LakeWilliamfort'->'Dianeview'->'Jacobsonstad'->'NewEmilymouth'->'NorthJenniferville'->'Patrickmouth', 15, 508.83, 19, 20, 1.0, 0.00018327399993722793, success, 25
BFS, 'Sarahshire'->'LakeLaurieburgh'->'Grayberg'->'Patrickmouth', 3, 183.591, 14, 21, 4.714285714285714, 7.666300007258542e-05, success, 25
DFS, 'Sarahshire'->'LakeLaurieburgh'->'WestDavid'->'SouthBrian'->'Porterstad'->'Evansberg'->'Robersonborough'->'Petersonchester'->'Rachelstad'->'SouthAnitaton'->'LakeWilliamfort'->'NewEmilymouth'->'NorthJenniferville'->'Patrickmouth', 13, 387.76899999999995, 13, 14, 5.076923076923077, 9.594000039214734e-05, success, 25
UCS, 'Sarahshire'->'LakeLaurieburgh'->'Grayberg'->'Patrickmouth', 3, 183.591, 108, 25, 4.32, 0.0012322120001044823, success, 25
Greedy, 'Sarahshire'->'LakeLaurieburgh'->'WestDavid'->'SouthBrian'->'Robersonborough'->'Petersonchester'->'Montoyatown'->'Rachelstad'->'SouthAnitaton'->'LakeWilliamfort'->'Patrickmouth', 10, 358.006, 10, 11, 5.0, 0.00030733600033272523, success, 25
